Date,Sales,Predicted Sales
2017-01-01,43971.374,60660.681814920645
2017-02-01,20301.1334,61591.31085431576
2017-03-01,58872.3528,62521.93989371087
2017-04-01,36521.5361,63452.56893310598
2017-05-01,44261.1102,64383.19797250108
2017-06-01,52981.7257,65313.827011896195
2017-07-01,45264.416,66244.45605129132
2017-08-01,63120.888,67175.08509068642
2017-09-01,87866.652,68105.71413008153
2017-10-01,77776.9232,69036.34316947663
2017-11-01,118447.825,69966.97220887174
2017-12-01,83829.3188,70897.60124826684
